a,b
0.029937314,-0.035461401
0.000319141,-0.024710024
0.001818193,-0.039672893
0.069473073,-0.081064418
0.003331367,-0.061507829
0.014838625,-0.094861871
0.069491573,-0.079880614
0.003331494,-0.061497591
0.014838848,-0.09485313
0.025344132,-0.039730039
0.000224622,-0.033408145
0.001308835,-0.050239904
0.025115459,-0.037914429
0.000224556,-0.033377023
0.001308124,-0.050191992
0.086105717,-0.081319757
0.005309112,-0.056853295
0.020433672,-0.083732889
0.086085308,-0.081175469
0.005309072,-0.056851538
0.020433644,-0.083731919
0.02847405,-0.03791225
0.000328989,-0.027688403
0.001705592,-0.041984304
0.028388868,-0.03756448
0.000328973,-0.027684497
0.001705484,-0.041979073
0.064250994,-0.078580429
0.002881434,-0.054865921
0.013940586,-0.091697493
0.064452533,-0.078027999
0.002881532,-0.054859526
0.01394084,-0.091692772
0.020587838,-0.034741059
0.000158425,-0.022919832
0.001140023,-0.045330556
0.020611594,-0.034028511
0.000159809,-0.023159307
0.001139559,-0.045303473
0.077093719,-0.075338565
0.004287229,-0.046655645
0.018565856,-0.078290265
0.077181074,-0.075307562
0.00428723,-0.046654646
0.018565888,-0.078289704
0.023165146,-0.031526076
0.000398582,-4.94999404
0.00142518,-0.035464041
0.023184252,-0.031377453
0.000398631,-4.950124619
0.001425209,-0.035463591
0.048924287,-0.060884394
0.002034299,-0.039364105
0.011224934,-0.076797399
0.049267371,-0.060421961
0.002034503,-0.039359396
0.011225523,-0.076793773
0.015878529,-0.024991444
0.000200449,-4.785554256
0.000914331,-0.035941533
0.015938889,-0.024193493
0.000200605,-4.785351005
0.000914323,-0.035930738
0.060757995,-0.060270879
0.003179554,-0.034779071
0.014850094,-0.064275427
0.06086801,-0.060256001
0.003179584,-0.03477825
0.014850154,-0.064274802
0.018740304,-0.02407795
0.000290902,-4.597345816
0.00116987,-0.028363822
0.018794179,-0.023979658
0.000290983,-4.597519941
0.001169896,-0.028363314
0.060388103,-0.07312457
0.002617202,-0.04972236
0.013126267,-0.086310454
0.061276684,-0.07296865
0.002617995,-0.049726111
0.013127388,-0.086306398
0.0228376,-0.035978723
0.000170985,-0.024480002
0.001176884,-0.043914201
0.023085563,-0.03524035
0.000170169,-0.024350505
0.001177047,-0.043909674
0.070784529,-0.06968948
0.003802712,-0.042046873
0.016990836,-0.072367056
0.071129701,-0.069859725
0.003802857,-0.042046901
0.016991183,-0.072367168
0.02352946,-0.030602721
0.000415066,-4.966433833
0.001421236,-0.033932294
0.023675643,-0.030655242
0.00041518,-4.966391394
0.001421276,-0.033932237
0.079936962,-0.085999335
0.00364652,-0.066020075
0.016927655,-0.100539223
0.080637977,-0.085364267
0.003647164,-0.066015851
0.01692889,-0.100533658
0.030770196,-0.044067113
0.000254202,-0.036592407
0.001592838,-0.054753691
0.030994896,-0.043107485
0.000254249,-0.036579194
0.001592636,-0.05473101
0.096135873,-0.084743793
0.005563876,-0.058036582
0.022814067,-0.087918299
0.096254026,-0.084665009
0.005563918,-0.058035335
0.02281422,-0.087917621
0.036115157,-0.043044733
0.000390531,-0.030650455
0.002139101,-0.046611179
0.03621033,-0.042939898
0.00039055,-0.030649392
0.002138238,-0.046586769
0.063669213,-0.077487234
0.003046396,-0.056353731
0.014295396,-0.092492353
0.063936348,-0.077235552
0.003046591,-0.05635149
0.014295923,-0.092490386
0.018634739,-0.02931831
0.00025545,-4.616240838
0.001012486,-0.038528489
0.018643988,-0.028672672
0.000255495,-4.612728381
0.001012109,-0.038504251
0.080002988,-0.077912149
0.004590248,-0.0496319
0.019220736,-0.080605801
0.080044951,-0.077880701
0.004590258,-0.049631433
0.019220786,-0.080605608
0.021700005,-0.027920242
0.000239735,-0.018470118
0.001332792,-0.031634331
0.021679674,-0.027746957
0.00023973,-0.018468291
0.001332789,-0.031633383
0.045538706,-0.059428051
0.002053554,-0.040533249
0.010632527,-0.076121399
0.046158654,-0.059265535
0.002054076,-0.040534767
0.010633345,-0.076118472
0.012740529,-0.019531824
0.000211224,-4.781311647
0.000702445,-0.027577863
0.01294456,-0.019125318
0.000211383,-4.780013105
0.000702548,-0.027574683
0.05777765,-0.060305098
0.00324233,-0.037002567
0.014178306,-0.064330152
0.057913985,-0.060315798
0.003242317,-0.037001367
0.0141783,-0.064329344
0.015382088,-0.019911615
0.000334776,-4.957864584
0.000964905,-0.02371832
0.015416621,-0.019810692
0.000334834,-4.9578114
0.000964913,-0.023717483
0.079678676,-0.087857495
0.003642477,-0.066868803
0.016853059,-0.102506332
0.08027534,-0.087168665
0.003643148,-0.06686534
0.016854182,-0.102499721
0.03470899,-0.051058091
0.000296571,-0.04218506
0.00168047,-0.058174359
0.035026736,-0.050456676
0.000296653,-0.042180504
0.00168069,-0.058170293
0.093394385,-0.085014274
0.005366928,-0.056864937
0.022263999,-0.087980546
0.093525847,-0.085041399
0.005367007,-0.056864892
0.022264189,-0.087980633
0.03641136,-0.04507733
0.000419331,-0.033357921
0.002137183,-0.047955619
0.03644178,-0.044952102
0.000419329,-0.033356024
0.00213739,-0.047959839
0.061098561,-0.071341115
0.002953459,-0.054581626
0.013368628,-0.086116417
0.061372311,-0.070804782
0.002953756,-0.054576516
0.013369266,-0.086111822
0.022856999,-0.034473133
0.000191503,-0.026775708
0.001151703,-0.04273438
0.022811873,-0.033576955
0.000193571,-0.027169927
0.001151719,-0.042727154
0.074849122,-0.07060065
0.004512575,-0.047869869
0.018017982,-0.073818857
0.074970121,-0.070638333
0.004512643,-0.04786994
0.018018186,-0.073819186
0.025513722,-0.031841998
0.000288133,-0.021849611
0.00151835,-0.035095814
0.02551092,-0.031701831
0.000288115,-0.021846896
0.00151835,-0.035094912
0.07021641,-0.081677323
0.003329232,-0.062804261
0.016229352,-0.098952862
0.070701623,-0.081490924
0.003329317,-0.062799951
0.016229535,-0.098948035
0.017128958,-0.025937659
0.000166534,-4.703719508
0.000789228,-0.030872761
0.017309336,-0.025440649
0.000166659,-4.702744033
0.000789257,-0.030867599
0.093365544,-0.08337663
0.005452266,-0.059279731
0.022716248,-0.086634346
0.093603096,-0.083538763
0.005452257,-0.059279444
0.022716244,-0.086634187
0.016946802,-0.020481662
0.000220497,-4.972977959
0.001022246,-0.023795673
0.017024753,-0.020452792
0.000220525,-4.972963533
0.001022235,-0.023794536
0.086649431,-0.097761807
0.003427909,-0.070086487
0.018341398,-0.112582272
0.087453631,-0.097774118
0.003428181,-0.070084311
0.018342063,-0.112580194
0.02376706,-0.034635034
0.000246921,-4.719764538
0.001050129,-0.03851123
0.024044412,-0.033978713
0.00024726,-4.718998462
0.001050325,-0.038506817
0.110422504,-0.101836774
0.00582465,-0.069021758
0.026492867,-0.104206785
0.111624995,-0.102761567
0.005825283,-0.069028162
0.026493989,-0.104210264
0.019435523,-0.023996622
0.000313634,-4.994609249
0.001150526,-0.027058169
0.019632425,-0.02417198
0.000314009,-4.994734276
0.001150876,-0.027067155
0.066385599,-0.074492737
0.002770696,-0.053901928
0.014611441,-0.090531885
0.067107469,-0.074628977
0.002771241,-0.05390565
0.014612326,-0.09053121
0.026478132,-0.038340411
0.000234382,-4.989334622
0.001305498,-0.04330644
0.026848191,-0.038352435
0.00023459,-4.989339436
0.001305703,-0.043308773
0.085305402,-0.078175512
0.004550271,-0.050079875
0.020693693,-0.08162321
0.085307468,-0.078163312
0.004550265,-0.050079658
0.0206937,-0.081623157
0.026446881,-0.032658674
0.000353862,-4.996391486
0.001596097,-0.03585642
0.026478176,-0.032623406
0.00035387,-4.996351405
0.001596103,-0.035856143
0.092226897,-0.099978231
0.004126707,-0.076761315
0.01873816,-0.110189718
0.092263115,-0.099523238
0.004126835,-0.076757126
0.018738274,-0.110185685
0.037954923,-0.054092771
0.000336085,-0.052366195
0.001780676,-0.061014031
0.037926872,-0.053532243
0.000336076,-0.052352664
0.001780663,-0.061007889
0.103535217,-0.093457021
0.005950149,-0.065720598
0.024542311,-0.094461087
0.103553361,-0.093453383
0.005950154,-0.065720341
0.02454232,-0.094460966
0.033790153,-0.043280214
0.000338637,-0.031293322
0.001998366,-0.046822451
0.033836364,-0.0432727
0.000338639,-0.03129293
0.001998381,-0.046822363
0.051205231,-0.063607264
0.002095007,-0.046306907
0.01070126,-0.07751869
0.051321928,-0.063375855
0.002094999,-0.046302913
0.010701423,-0.07751625
0.024795868,-0.039348464
0.000239175,-0.037039873
0.001272233,-0.048856282
0.024842605,-0.038998332
0.000239168,-0.037034066
0.001272254,-0.048853773
0.055338753,-0.058352532
0.002686791,-0.034029098
0.013234656,-0.06162472
0.055311452,-0.058284907
0.00268674,-0.034027879
0.013234626,-0.061624362
0.026919213,-0.036739947
0.000516564,-4.959103895
0.001635355,-0.041163372
0.026973408,-0.036716541
0.000516576,-4.958875075
0.001635341,-0.041162491
0.062731617,-0.073698028
0.002493151,-0.052959383
0.014186852,-0.091978251
0.063264969,-0.07320914
0.002494341,-0.052974179
0.014187771,-0.091974313
0.027378923,-0.042121377
0.000250242,-4.979146667
0.001453044,-0.053501394
0.02749346,-0.041265552
0.000250361,-4.979155033
0.00144265,-0.053022549
0.085331946,-0.078090913
0.004561434,-0.05245015
0.020602673,-0.081822913
0.085472773,-0.078136465
0.004561501,-0.052450153
0.020602873,-0.081823157
0.032349153,-0.040390191
0.000455026,-4.9905316
0.002862056,-4.999714166
0.03235985,-0.040232942
0.000455061,-4.990570669
0.002862108,-4.999720764
0.085553985,-0.100971253
0.004019682,-0.080338486
0.016784427,-0.11135072
0.085703652,-0.100696524
0.004019813,-0.080336027
0.016784618,-0.111347647
0.030912936,-0.049899775
0.000481338,-4.978062738
0.001570112,-0.059253201
0.030913282,-0.049265093
0.000481387,-4.978024877
0.001570146,-0.059249695
0.097363142,-0.095001663
0.005961959,-0.068534485
0.022829773,-0.096389016
