Lon,Lat
144.95,-14.415
144.89,-14.427
144.96,-14.458
144.63,-14.442
144.89,-14.466
144.69,-14.478
144.64,-14.477
144.96,-14.479
145,-14.234
145.07,-14.269
145.16,-14.291
145.24,-14.314
145.28,-14.343
145.35,-14.377
145.02,-14.367
145.03,-14.4
145.08,-14.433
145.34,-14.434
145.04,-14.445
145.41,-14.443
145.48,-14.457
145.02,-14.474
145.2,-14.471
145.54,-14.499
144.97,-14.504
144.76,-14.506
144.91,-14.506
144.85,-14.518
144.97,-14.526
144.86,-14.541
144.99,-14.542
144.92,-14.544
144.87,-14.55
144.85,-14.55
144.9,-14.555
144.89,-14.564
144.92,-14.573
144.93,-14.616
144.92,-14.632
144.95,-14.685
144.99,-14.719
144.95,-14.722
145.16,-14.508
145.25,-14.655
145.45,-14.688
145.38,-14.714
145.16,-14.719
145.19,-14.725
145.09,-14.736
145.35,-14.763
145.09,-14.782
145.34,-14.787
145.13,-14.8
145.19,-14.824
145.27,-14.853
145.5,-14.864
145.51,-14.918
145.48,-14.896
145.49,-14.945
145.33,-14.947
145.59,-14.551
145.62,-14.602
145.65,-14.65
145.54,-14.709
145.58,-14.733
145.51,-14.742
145.54,-14.787
145.58,-14.783
145.71,-14.809
145.52,-14.82
145.55,-14.825
145.61,-14.849
145.56,-14.885
145.69,-14.922
145.68,-14.933
145.69,-14.951
145.71,-14.991
145.44,-15.025
145.38,-15.099
145.27,-15.098
145.42,-15.115
145.32,-15.139
145.25,-15.157
145.27,-15.16
145.5,-15.167
145.25,-15.176
145.34,-15.216
145.43,-15.414
145.42,-15.476
145.29,-15.481
145.57,-15.006
145.69,-15.034
145.53,-15.045
145.57,-15.051
145.72,-15.078
145.64,-15.099
145.67,-15.095
145.58,-15.146
145.69,-15.138
145.74,-15.188
145.62,-15.199
145.56,-15.211
145.72,-15.242
145.53,-15.245
145.58,-15.252
145.75,-15.281
145.59,-15.294
145.76,-15.314
145.64,-15.319
145.65,-15.332
145.75,-15.335
145.78,-15.366
145.59,-15.366
145.76,-15.39
145.77,-15.402
145.51,-15.429
145.61,-15.43
145.66,-15.432
145.8,-15.437
145.68,-15.464
145.66,-15.486
145.5,-15.488
145.8,-15.491
145.32,-15.505
145.35,-15.537
145.33,-15.608
145.43,-15.641
145.32,-15.637
145.36,-15.732
145.43,-15.71
145.44,-15.71
145.41,-15.713
145.4,-15.713
145.44,-15.742
145.46,-15.737
145.4,-15.934
145.37,-15.922
145.39,-15.913
145.44,-15.996
145.62,-15.506
145.55,-15.511
145.78,-15.516
145.78,-15.533
145.64,-15.537
145.79,-15.56
145.6,-15.562
145.66,-15.56
145.55,-15.572
145.8,-15.608
145.52,-15.61
145.66,-15.622
145.71,-15.647
145.81,-15.65
145.51,-15.674
145.8,-15.719
145.78,-15.753
145.57,-15.778
145.81,-15.789
145.77,-15.824
145.82,-15.828
145.57,-15.871
145.8,-15.88
145.66,-15.907
145.82,-15.951
145.67,-15.974
145.84,-16.02
NaN,NaN
145.47,-16.058
145.47,-16.105
145.5,-16.3
145.43,-16.363
145.43,-16.399
145.42,-16.443
145.45,-16.471
145.76,-16.007
145.8,-16.023
145.7,-16.023
145.65,-16.047
145.73,-16.058
145.72,-16.081
145.75,-16.082
145.83,-16.109
145.7,-16.124
145.64,-16.184
145.71,-16.194
145.89,-16.218
145.79,-16.321
145.77,-16.358
145.56,-16.389
145.77,-16.417
146,-16.429
145.69,-16.444
145.98,-16.466
145.53,-16.529
145.54,-16.533
145.5,-16.542
145.86,-16.547
145.97,-16.586
145.94,-16.638
145.99,-16.653
145.58,-16.651
145.94,-16.678
145.69,-16.735
145.98,-16.764
145.9,-16.885
145.96,-16.901
NaN,NaN
145.99,-16.926
NaN,NaN
146.01,-16.519
146.02,-16.586
146.25,-16.686
146.04,-16.699
146.27,-16.735
146.27,-16.79
146.19,-16.809
146.35,-16.854
146.22,-16.876
146.39,-16.878
146.24,-16.92
146.21,-16.939
146.45,-16.939
145.55,-16.56
145.53,-16.567
145.53,-16.594
146.21,-16.994
146.19,-17.076
146.41,-17.101
146.34,-17.106
146.47,-17.13
146.01,-17.158
146.29,-17.185
146.37,-17.198
146.47,-17.241
146.45,-17.29
146.37,-17.294
146.39,-17.395
146.48,-17.445
146.45,-17.454
146.46,-17.477
146.4,-17.484
146.54,-17.45
146.51,-17.441
146.38,-17.536
146.51,-17.528
146.47,-17.609
146.15,-17.641
146.47,-17.657
146.4,-17.725
NaN,NaN
146.15,-17.753
146.44,-17.774
146.13,-17.778
146.11,-17.811
NaN,NaN
146.49,-17.85
146.12,-17.858
146.15,-17.955
146.14,-17.966
146.13,-17.975
146.1,-17.977
146.58,-17.584
146.55,-17.695
146.5,-17.738
146.51,-17.747
146.64,-17.778
146.52,-17.791
146.55,-17.833
146.73,-17.877
146.61,-17.888
146.61,-17.972
146.8,-17.946
146.77,-17.995
146.15,-18.01
146.17,-18.027
146.18,-18.041
146.2,-18.042
146.2,-18.053
146.29,-18.15
146.16,-18.17
146.14,-18.183
146.32,-18.237
146.83,-18.013
146.79,-18.037
146.58,-18.049
146.86,-18.053
146.79,-18.094
146.76,-18.119
146.97,-18.132
146.74,-18.232
146.9,-18.258
146.75,-18.327
146.82,-18.361
146.71,-18.416
146.99,-18.435
146.99,-18.471
146.87,-18.483
147.02,-18.211
147.39,-18.268
147.2,-18.361
147.45,-18.413
147.14,-18.417
147.35,-18.424
147.05,-18.432
147.04,-18.499
147.1,-18.489
147.52,-18.436
146.49,-18.559
146.49,-18.62
146.33,-18.687
146.43,-18.816
146.56,-18.68
146.51,-18.676
146.62,-18.741
146.55,-18.768
146.52,-18.777
146.53,-18.78
146.52,-18.832
146.53,-18.846
146.63,-18.965
147.15,-18.515
147.44,-18.497
147.4,-18.528
147.19,-18.552
147.5,-18.563
147.05,-18.632
147.3,-18.625
147.42,-18.635
147.1,-18.693
147.27,-18.749
147.54,-18.504
147.57,-18.583
147.57,-18.617
147.6,-18.644
147.56,-18.659
147.71,-18.663
147.86,-18.696
147.54,-18.732
147.89,-18.725
147.84,-18.733
147.71,-18.781
147.95,-18.754
147.93,-18.76
147.87,-18.775
147.53,-18.8
147.65,-18.823
147.89,-18.859
147.74,-18.913
147.96,-18.902
147.89,-18.908
147.9,-18.931
147.7,-18.968
148.03,-18.819
148.08,-18.856
148.15,-18.875
148.25,-18.926
148.08,-18.953
148.38,-18.951
148.43,-18.978
146.34,-18.936
146.63,-19.03
146.61,-19.041
146.83,-19.163
146.84,-19.189
146.81,-19.199
147.06,-19.181
147.93,-19.037
148.11,-19.019
148.33,-19.019
148.45,-19.043
148.3,-19.05
148.18,-19.06
148.08,-19.073
148.2,-19.078
148.23,-19.076
148.25,-19.093
148.29,-19.098
148.33,-19.095
148.3,-19.11
148.4,-19.156
148.19,-19.123
148.18,-19.133
148.16,-19.186
148.09,-19.209
148.22,-19.211
148.35,-19.281
148.09,-19.297
148.44,-19.326
148.34,-19.369
148.09,-19.382
148.56,-19.028
148.7,-19.092
148.7,-19.114
148.91,-19.122
148.83,-19.127
148.56,-19.172
148.93,-19.167
148.59,-19.201
148.96,-19.187
148.88,-19.188
148.9,-19.216
148.6,-19.248
148.99,-19.264
148.63,-19.327
148.64,-19.341
148.64,-19.358
148.68,-19.386
148.67,-19.432
148.75,-19.459
148.86,-19.428
148.82,-19.484
148.9,-19.493
149.03,-19.206
149.1,-19.228
149.25,-19.315
149.05,-19.339
149.41,-19.342
149.21,-19.48
149.17,-19.491
149.08,-19.513
149.12,-19.502
149.64,-19.466
147.76,-19.728
147.89,-19.856
148.36,-19.727
148.98,-19.528
148.88,-19.535
148.94,-19.549
148.56,-19.996
149.22,-19.516
149.23,-19.528
149,-19.529
149.03,-19.531
149.27,-19.545
149.36,-19.534
149.39,-19.534
149.37,-19.547
149.35,-19.549
149.25,-19.587
149.24,-19.592
149.49,-19.574
149.41,-19.665
149.39,-19.723
149.19,-19.694
149.3,-19.752
149.33,-19.751
149.37,-19.763
149.4,-19.762
149.2,-19.719
149.48,-19.754
149.23,-19.763
149.2,-19.796
149.07,-19.809
149.42,-19.802
149.59,-19.518
149.74,-19.529
149.6,-19.56
149.66,-19.573
149.57,-19.584
149.51,-19.589
149.63,-19.599
149.66,-19.629
149.77,-19.604
149.72,-19.612
149.85,-19.619
149.88,-19.634
149.76,-19.641
149.84,-19.643
149.71,-19.659
149.75,-19.664
149.58,-19.669
149.7,-19.676
149.93,-19.672
149.66,-19.691
149.73,-19.688
149.78,-19.691
149.91,-19.7
149.98,-19.695
149.61,-19.714
149.61,-19.722
149.74,-19.71
149.76,-19.713
149.92,-19.71
149.97,-19.71
149.71,-19.727
