ID,a,b,params
395,2.04E-04,-0.0319,_d83_1122_P7
396,0.0013,-0.0523,_d83_2111
397,0.08,-0.0825,_d83_2111_P5
398,0.0048,-0.056,_d83_2111_P7
399,0.019,-0.0849,_d83_2112
400,0.0802,-0.0825,_d83_2112_P5
401,0.0048,-0.056,_d83_2112_P7
402,0.019,-0.0849,_d83_2121
403,0.0265,-0.0374,_d83_2121_P5
404,2.97E-04,-0.0258,_d83_2121_P7
405,0.0016,-0.0414,_d83_2122
406,0.0265,-0.0371,_d83_2122_P5
407,2.98E-04,-0.0259,_d83_2122_P7
408,0.0016,-0.0413,_d84_1111
409,0.0455,-0.0546,_d84_1111_P5
410,0.002,-0.0381,_d84_1111_P7
411,0.0095,-0.0653,_d84_1112
412,0.0459,-0.0541,_d84_1112_P5
413,0.002,-0.0381,_d84_1112_P7
414,0.0095,-0.0653,_d84_1121
415,0.0222,-0.0322,_d84_1121_P5
416,2.23E-04,-0.0299,_d84_1121_P7
417,0.0011,-0.0378,_d84_1122
418,0.0222,-0.0315,_d84_1122_P5
419,2.23E-04,-0.0299,_d84_1122_P7
420,0.0011,-0.0379,_d84_2111
421,0.0498,-0.0508,_d84_2111_P5
422,0.0028,-0.0311,_d84_2111_P7
423,0.012,-0.0537,_d84_2112
424,0.0498,-0.0507,_d84_2112_P5
425,0.0028,-0.0311,_d84_2112_P7
426,0.012,-0.0537,_d84_2121
427,0.0217,-0.0273,_d84_2121_P5
428,2.65E-04,-0.0204,_d84_2121_P7
429,0.0013,-0.0295,_d84_2122
430,0.0217,-0.0272,_d84_2122_P5
431,2.65E-04,-0.0204,_d84_2122_P7
432,0.0013,-0.0295,_d85_1111
433,0.0498,-0.0664,_d85_1111_P5
434,0.0019,-0.0398,_d85_1111_P7
435,0.0113,-0.082,_d85_1112
436,0.0505,-0.0665,_d85_1112_P5
437,0.0019,-0.0398,_d85_1112_P7
438,0.0113,-0.082,_d85_1121
439,0.0163,-0.0271,_d85_1121_P5
440,2.41E-04,-4.7446,_d85_1121_P7
441,9.11E-04,-0.038,_d85_1122
442,0.0161,-0.026,_d85_1122_P5
443,2.41E-04,-4.7432,_d85_1122_P7
444,9.11E-04,-0.038,_d85_2111
445,0.0566,-0.0599,_d85_2111_P5
446,0.0028,-0.032,_d85_2111_P7
447,0.014,-0.0643,_d85_2112
448,0.0567,-0.0599,_d85_2112_P5
449,0.0028,-0.032,_d85_2112_P7
450,0.014,-0.0643,_d85_2121
451,0.0168,-0.0223,_d85_2121_P5
452,3.40E-04,-4.951,_d85_2121_P7
453,0.0011,-0.027,_d85_2122
454,0.0167,-0.022,_d85_2122_P5
455,3.40E-04,-4.951,_d85_2122_P7
456,0.0011,-0.027,_d86_1111
457,0.0663,-0.0798,_d86_1111_P5
458,0.0029,-0.0559,_d86_1111_P7
459,0.0143,-0.0937,_d86_1112
460,0.0665,-0.0794,_d86_1112_P5
461,0.0029,-0.0559,_d86_1112_P7
462,0.0143,-0.0937,_d86_1121
463,0.0253,-0.0406,_d86_1121_P5
464,2.14E-04,-0.0313,_d86_1121_P7
465,0.0013,-0.05,_d86_1122
466,0.0253,-0.0399,_d86_1122_P5
467,2.14E-04,-0.0313,_d86_1122_P7
468,0.0013,-0.05,_d86_2111
469,0.0778,-0.0754,_d86_2111_P5
470,0.0042,-0.0468,_d86_2111_P7
471,0.0187,-0.0783,_d86_2112
472,0.0778,-0.0754,_d86_2112_P5
473,0.0042,-0.0468,_d86_2112_P7
474,0.0187,-0.0783,_d86_2121
475,0.0265,-0.0346,_d86_2121_P5
476,2.75E-04,-0.0215,_d86_2121_P7
477,0.0016,-0.0383,_d86_2122
478,0.0265,-0.0344,_d86_2122_P5
479,2.75E-04,-0.0215,_d86_2122_P7
480,0.0016,-0.0383,_d87_1111
481,0.0483,-0.0612,_d87_1111_P5
482,0.002,-0.0387,_d87_1111_P7
483,0.011,-0.077,_d87_1112
484,0.0485,-0.0607,_d87_1112_P5
485,0.002,-0.0388,_d87_1112_P7
486,0.011,-0.077,_d87_1121
487,0.0137,-0.0205,_d87_1121_P5
488,1.16E-04,-0.0148,_d87_1121_P7
489,7.53E-04,-0.0291,_d87_1122
490,0.0135,-0.0196,_d87_1122_P5
491,1.16E-04,-0.0148,_d87_1122_P7
492,7.53E-04,-0.0291,_d87_2111
493,0.06,-0.0602,_d87_2111_P5
494,0.0031,-0.0346,_d87_2111_P7
495,0.0146,-0.0636,_d87_2112
496,0.06,-0.0602,_d87_2112_P5
497,0.0031,-0.0346,_d87_2112_P7
498,0.0146,-0.0636,_d87_2121
499,0.0164,-0.0207,_d87_2121_P5
500,1.83E-04,-0.0133,_d87_2121_P7
501,0.001,-0.0242,_d87_2122
502,0.0163,-0.0205,_d87_2122_P5
503,1.83E-04,-0.0133,_d87_2122_P7
504,0.001,-0.0242,_d88_1111
505,0.0564,-0.0688,_d88_1111_P5
506,0.0023,-0.0432,_d88_1111_P7
507,0.0126,-0.0835,_d88_1112
508,0.0566,-0.0682,_d88_1112_P5
509,0.0023,-0.0432,_d88_1112_P7
510,0.0126,-0.0835,_d88_1121
511,0.0187,-0.0294,_d88_1121_P5
512,2.20E-04,-4.5572,_d88_1121_P7
513,9.76E-04,-0.0379,_d88_1122
514,0.0185,-0.0281,_d88_1122_P5
515,2.20E-04,-4.5566,_d88_1122_P7
516,9.76E-04,-0.0379,_d88_2111
517,0.0704,-0.0686,_d88_2111_P5
518,0.0038,-0.0417,_d88_2111_P7
519,0.017,-0.072,_d88_2112
520,0.0705,-0.0685,_d88_2112_P5
521,0.0038,-0.0417,_d88_2112_P7
